country_code,vd,ad,X,ad_rank,Y,Z
BW,0.8504757348641896,0.0,0.0031892840057407106,77.0,69.23076923076923,50.0
BY,0.4255834829347939,0.0,0.0015959380610054772,77.0,69.23076923076923,50.0
BZ,5.02991542197218,7.544873132958269,0.018862182832395675,2.0,99.59514170040485,50.0
CA,9.99862176892564,0.5788675760956951,0.03749483163347115,17.0,93.52226720647774,52.225
CC,0.0,0.0,0.0,77.0,69.23076923076923,0.0
CD,0.0,0.0,0.0,77.0,69.23076923076923,0.0
CF,0.0,0.0,0.0,77.0,69.23076923076923,0.0
CG,0.176772140710624,0.0,0.00066289552766484,77.0,69.23076923076923,50.0
CH,2.195358734327161,0.0,0.008232595253726854,77.0,69.23076923076923,47.375
CI,0.0,0.0,0.0,77.0,69.23076923076923,0.0
CK,386.7403314917127,0.0,1.4502762430939227,77.0,69.23076923076923,100.0
CL,0.3138697636126493,0.0523116272687748,0.0011770116135474348,52.0,79.35222672064778,58.324999999999996
CM,0.0,0.0,0.0,77.0,69.23076923076923,0.0
CN,0.0499246850465583,0.044219006755523,0.00018721756892459363,55.0,78.13765182186235,53.574999999999996
CO,0.0589589222183239,0.0196529740727746,0.00022109595831871462,71.0,71.65991902834008,50.0
CR,0.5889149712786168,0.0,0.002208431142294813,77.0,69.23076923076923,83.32499999999999
CU,0.0,0.0,0.0,77.0,69.23076923076923,0.0
CV,0.0,0.0,0.0,77.0,69.23076923076923,0.0
CW,6.451030229527656,0.0,0.024191363360728708,77.0,69.23076923076923,50.0
CX,0.0,0.0,0.0,77.0,69.23076923076923,0.0
CY,4.969516159624172,0.0,0.018635685598590645,77.0,69.23076923076923,58.324999999999996
CZ,0.9346758768381336,0.0,0.0035050345381430013,77.0,69.23076923076923,55.00000000000001
DE,0.6847626201300389,0.0240267586010539,0.0025678598254876457,69.0,72.46963562753037,57.02499999999999
DJ,0.0,0.0,0.0,77.0,69.23076923076923,0.0
DK,2.057823467556012,0.171485288963001,0.007716838003335046,37.0,85.4251012145749,54.175000000000004
DM,0.0,0.0,0.0,77.0,69.23076923076923,0.0
DO,0.0,0.0,0.0,77.0,69.23076923076923,0.0
DZ,0.0223713646532438,0.0,8.389261744966425e-05,77.0,69.23076923076923,50.0
