country_code,vd,ad,X,ad_rank,Y,Z,GCI,F
MW,0.0,0.0,0.0,77.0,69.23076923076923,0.0,36.83,0.0
MX,0.1008277547598785,0.0077559811353752,0.0003781040803495,76.0,69.63562753036437,57.7,81.68,4017.9757085020246
MY,0.3398628400088265,0.0617932436379684,0.001274485650033,50.0,80.16194331983806,63.625,98.06,5100.3036437246965
MZ,0.031994435527773,0.0,0.0001199791332291,77.0,69.23076923076923,50.0,24.18,3461.5384615384614
NC,0.0,0.0,0.0,77.0,69.23076923076923,0.0,,0.0
NE,0.0,0.0,0.0,77.0,69.23076923076923,0.0,,0.0
NF,0.0,0.0,0.0,77.0,69.23076923076923,0.0,,0.0
NG,0.0242554090301927,0.0242554090301927,9.095778386322264e-05,68.0,72.8744939271255,50.0,11.38,3643.7246963562748
NI,0.0,0.0,0.0,77.0,69.23076923076923,0.0,9.0,0.0
NL,1.5610178773170833,0.2401565965103205,0.005853817039939,28.0,89.06882591093117,51.925,97.05,4624.898785425101
NO,1.4871339675340067,0.0,0.0055767523782525,77.0,69.23076923076923,50.0,96.89,3461.5384615384614
NP,0.068641698843607,0.0,0.0002574063706635,77.0,69.23076923076923,50.0,44.99,3461.5384615384614
NR,0.0,0.0,0.0,77.0,69.23076923076923,0.0,21.42,0.0
NU,0.0,0.0,0.0,77.0,69.23076923076923,0.0,,0.0
NZ,20.848494384674392,1.1801034557362862,0.0781818539425289,8.0,97.165991902834,52.825,84.04,5132.793522267206
OM,0.5874725013913307,0.0,0.0022030218802174,77.0,69.23076923076923,50.0,96.04,3461.5384615384614
PA,1.1588108561109196,0.0,0.0043455407104159,77.0,69.23076923076923,50.0,34.11,3461.5384615384614
PE,0.181973432728031,0.0909867163640155,0.0006824003727301,47.0,81.37651821862349,83.32499999999999,55.67,6780.6983805668015
PF,0.0,0.0,0.0,77.0,69.23076923076923,0.0,,0.0
PG,0.0,0.0,0.0,77.0,69.23076923076923,0.0,26.33,0.0
PH,0.1460106002783236,0.0365026500695809,0.0005475397510437,58.0,76.92307692307692,71.875,77.0,5528.846153846153
PK,0.072433478915119,0.1901378821521875,0.0002716255459316,33.0,87.04453441295547,65.625,64.88,5712.297570850203
PL,0.2107992342296218,0.0263499042787027,0.000790497128361,66.0,73.6842105263158,50.0,93.86,3684.2105263157896
PM,0.0,0.0,0.0,77.0,69.23076923076923,0.0,,0.0
PN,0.0,0.0,0.0,77.0,69.23076923076923,0.0,,0.0
PR,2.8177533488998554,0.3130837054333172,0.0105665750583744,24.0,90.68825910931174,50.0,,4534.412955465587
PS,0.624574638647138,1.249149277294276,0.0023421548949267,7.0,97.57085020242916,100.0,25.18,9757.085020242916
PT,0.2911048827604195,0.0970349609201398,0.0010916433103515,46.0,81.78137651821862,50.0,97.32,4089.068825910931
PW,0.0,0.0,0.0,77.0,69.23076923076923,0.0,,0.0
PY,0.2804054101419833,0.0,0.0010515202880324,77.0,69.23076923076923,75.0,57.09,5192.307692307692
QA,1.0412834165203084,0.0,0.0039048128119511,77.0,69.23076923076923,33.325,94.5,2307.1153846153848
RE,0.0,0.0,0.0,77.0,69.23076923076923,0.0,,0.0
RO,0.2592537649998395,0.8296120479994864,0.0009722016187493,11.0,95.95141700404858,60.0,76.29,5757.085020242915
RS,0.2895100100981091,0.2895100100981091,0.0010856625378679,26.0,89.87854251012146,50.0,89.8,4493.927125506073
RU,0.2151222921654959,6.072000182090611,0.0008067085956206,3.0,99.19028340080972,61.3,98.06,6080.364372469636
RW,0.0772069073314057,0.0,0.0002895259024927,77.0,69.23076923076923,100.0,79.95,6923.076923076923
SA,0.1148967450240445,0.1148967450240445,0.0004308627938401,43.0,82.99595141700405,87.5,99.54,7262.145748987855
SB,0.0,0.0,0.0,77.0,69.23076923076923,0.0,7.08,0.0
SC,0.0,0.0,0.0,77.0,69.23076923076923,0.0,13.23,0.0
SD,0.022805397280397,0.0,8.552023980148875e-05,77.0,69.23076923076923,50.0,35.03,3461.5384615384614
SE,1.448793550975608,0.1931724734634144,0.0054329758161585,32.0,87.4493927125506,53.325,94.55,4663.238866396761
SG,4.748666284311092,0.175876529048559,0.0178074985661665,35.0,86.23481781376518,57.400000000000006,98.52,4949.878542510121
SH,0.0,0.0,0.0,77.0,69.23076923076923,0.0,,0.0
SI,0.4761619064760876,0.0,0.0017856071492853,77.0,69.23076923076923,50.0,74.93,3461.5384615384614
SJ,0.0,0.0,0.0,77.0,69.23076923076923,0.0,,0.0
SK,0.5495686161147807,0.0,0.0020608823104304,77.0,69.23076923076923,50.0,92.36,3461.5384615384614
SL,0.0,0.0,0.0,77.0,69.23076923076923,0.0,25.31,0.0
SM,0.0,0.0,0.0,77.0,69.23076923076923,0.0,13.83,0.0
SN,0.0,0.0,0.0,77.0,69.23076923076923,0.0,35.85,0.0
SO,0.0,0.0,0.0,77.0,69.23076923076923,0.0,17.25,0.0
SR,0.0,0.0,0.0,77.0,69.23076923076923,0.0,31.2,0.0
SS,0.0,0.0,0.0,77.0,69.23076923076923,0.0,5.75,0.0
ST,0.0,0.0,0.0,77.0,69.23076923076923,0.0,15.64,0.0
SV,0.0,0.0,0.0,77.0,69.23076923076923,0.0,13.3,0.0
SX,0.0,0.0,0.0,77.0,69.23076923076923,0.0,,0.0
SY,0.6285478310899985,2.1713470528563588,0.0023570543665874,5.0,98.38056680161944,63.625,22.14,6259.463562753037
SZ,1.7238942080602395,0.0,0.0064646032802258,77.0,69.23076923076923,75.0,18.23,5192.307692307692
TC,0.0,25.827780360555813,0.0,1.0,100.0,0.0,,0.0
TD,0.0,0.0,0.0,77.0,69.23076923076923,0.0,40.44,0.0
TF,0.0,0.0,0.0,77.0,69.23076923076923,0.0,,0.0
TG,0.0,0.0,0.0,77.0,69.23076923076923,0.0,33.19,0.0
TH,0.2435530853605713,0.0429799562401008,0.0009133240701021,56.0,77.7327935222672,52.95,86.5,4115.951417004048
TJ,0.209695436251434,0.0,0.0007863578859428,77.0,69.23076923076923,50.0,17.01,3461.5384615384614
TK,0.0,0.0,0.0,77.0,69.23076923076923,0.0,,0.0
TL,0.7584709831755966,0.0,0.0028442661869084,77.0,69.23076923076923,50.0,4.26,3461.5384615384614
TM,0.6632193629545892,0.1658048407386473,0.0024870726110797,38.0,85.02024291497976,66.67500000000001,14.48,5668.724696356277
TN,0.0846122617720616,0.0846122617720616,0.0003172959816452,49.0,80.56680161943319,50.0,86.23,4028.3400809716595
TO,0.0,0.0,0.0,77.0,69.23076923076923,0.0,20.95,0.0
TR,0.3201363372919456,0.3082794359107624,0.0012005112648447,25.0,90.2834008097166,64.825,,5852.621457489879
TT,0.7145455026148794,0.0,0.0026795456348057,77.0,69.23076923076923,50.0,22.18,3461.5384615384614
TV,0.0,0.0,0.0,77.0,69.23076923076923,0.0,5.78,0.0
TW,0.9785839456325992,0.0850942561419651,0.0036696897961222,48.0,80.97165991902834,56.525000000000006,,4576.923076923077
TZ,0.0167408248937673,0.0,6.277809335162739e-05,77.0,69.23076923076923,50.0,90.58,3461.5384615384614
UA,0.4305003322442959,0.7023952789249038,0.0016143762459161,15.0,94.33198380566802,71.05,65.93,6702.287449392712
UG,0.0218622242626964,0.0,8.198334098511149e-05,77.0,69.23076923076923,50.0,69.98,3461.5384615384614
UM,26666.666666666668,0.0,100.0,77.0,69.23076923076923,56.25,,3894.230769230769
US,22.741611740727183,1.001565711255835,0.0852810440277269,9.0,96.76113360323886,47.2,100.0,4567.1255060728745
UY,0.2878752417792187,0.2878752417792187,0.001079532156672,27.0,89.47368421052632,100.0,75.15,8947.368421052632
UZ,0.0876371704294659,0.0292123901431553,0.0003286393891104,64.0,74.49392712550608,50.0,71.11,3724.696356275304
VA,0.0,0.0,0.0,77.0,69.23076923076923,0.0,,0.0
VC,0.0,0.0,0.0,77.0,69.23076923076923,0.0,12.18,0.0
VE,0.2110005636176721,0.0351667606029453,0.0007912521135662,59.0,76.51821862348179,100.0,27.06,7651.821862348179
VG,0.0,0.0,0.0,77.0,69.23076923076923,0.0,,0.0
VI,18.81644557343117,0.0,0.0705616709003669,77.0,69.23076923076923,75.0,,5192.307692307692
VN,0.0513670925330811,0.0410936740264649,0.000192626596999,57.0,77.32793522267207,60.0,94.59,4639.676113360324
VU,0.0,0.0,0.0,77.0,69.23076923076923,0.0,12.88,0.0
WF,0.0,0.0,0.0,77.0,69.23076923076923,0.0,,0.0
WS,0.0,0.0,0.0,77.0,69.23076923076923,0.0,29.33,0.0
YE,0.0335278305133298,0.0335278305133298,0.0001257293644249,60.0,76.11336032388664,100.0,,7611.336032388664
YT,0.0,0.0,0.0,77.0,69.23076923076923,0.0,,0.0
ZA,0.4215233888996705,0.0,0.0015807127083737,77.0,69.23076923076923,48.0,78.46,3323.076923076923
ZM,0.0543952563855135,0.0,0.0002039822114456,77.0,69.23076923076923,100.0,68.88,6923.076923076923
ZW,0.2691259938234238,0.0,0.0010092224768378,77.0,69.23076923076923,50.0,36.49,3461.5384615384614
,0.7871177166029888,0.0,0.0029516914372612,77.0,69.23076923076923,0.0,,0.0
