country_code,vd,ad,X,ad_rank,Y,Z,GCI,F
GT,0.1186356919156834,0.0,0.0004448838446838,77.0,69.23076923076923,25.0,13.13,1730.7692307692307
GU,5.924767304764106,0.0,0.0222178773928653,77.0,69.23076923076923,100.0,,6923.076923076923
GW,0.0,0.0,0.0,77.0,69.23076923076923,0.0,9.85,0.0
GY,0.0,0.0,0.0,77.0,69.23076923076923,0.0,28.11,0.0
HK,2.5330969109549777,0.133320890050262,0.0094991134160811,40.0,84.21052631578948,50.0,,4210.526315789474
HM,,,,,,0.0,,
HN,0.3028893218186929,0.0,0.00113583495682,77.0,69.23076923076923,100.0,2.2,6923.076923076923
HR,0.2470844040324175,0.0,0.0009265665151215,77.0,69.23076923076923,50.0,92.53,3461.5384615384614
HT,0.0876998119628331,0.0,0.0003288742948606,77.0,69.23076923076923,50.0,6.4,3461.5384615384614
HU,0.2051331914427048,0.0,0.0007692494679101,77.0,69.23076923076923,50.0,91.28,3461.5384615384614
ID,0.0548398706669651,0.0329039224001791,0.0002056495150011,61.0,75.7085020242915,60.0,94.88,4542.510121457491
IE,14.214999667649304,0.4004225258492761,0.0533062487536848,21.0,91.90283400809716,52.125,85.86,4790.435222672065
IL,5.533313803990496,0.4339853963914114,0.0207499267649643,19.0,92.71255060728744,60.775,90.93,5634.605263157894
IM,11.760278483394488,0.0,0.0441010443127293,77.0,69.23076923076923,50.0,,3461.5384615384614
IN,0.1094199421692417,0.0101448953004594,0.0004103247831346,73.0,70.8502024291498,61.925,97.5,4387.398785425102
IO,0.0,0.0,0.0,77.0,69.23076923076923,0.0,,0.0
IQ,0.0248617049018555,0.0,9.323139338195811e-05,77.0,69.23076923076923,50.0,20.71,3461.5384615384614
IR,0.1190576071304458,0.226209453547847,0.0004464660267391,29.0,88.66396761133603,60.0,81.07,5319.8380566801625
IS,5.458142866889541,2.7290714334447705,0.0204680357508357,4.0,98.78542510121456,50.0,79.81,4939.2712550607275
IT,0.1847062456217273,0.0503744306241074,0.0006926484210814,53.0,78.94736842105263,54.55,96.13,4306.578947368421
JE,0.0,0.0,0.0,77.0,69.23076923076923,0.0,,0.0
JM,1.013116139244033,0.3377053797480109,0.0037991855221651,23.0,91.09311740890688,66.67500000000001,32.53,6073.633603238867
JO,0.294027132823817,0.0980090442746056,0.0011026017480893,45.0,82.18623481781377,66.67500000000001,70.96,5479.767206477734
JP,0.5403858089250931,0.0158937002625027,0.002026446783469,72.0,71.25506072874494,52.95,97.82,3772.9554655870447
KE,0.1859728144939772,0.0,0.0006973980543524,77.0,69.23076923076923,75.0,81.7,5192.307692307692
KG,0.0,0.0,0.0,77.0,69.23076923076923,0.0,49.64,0.0
KH,0.1196245869437778,0.1196245869437778,0.0004485922010391,41.0,83.80566801619433,75.0,19.12,6285.425101214575
KI,0.0,0.0,0.0,77.0,69.23076923076923,0.0,13.84,0.0
KM,0.0,0.0,0.0,77.0,69.23076923076923,0.0,3.72,0.0
KN,0.0,0.0,0.0,77.0,69.23076923076923,0.0,12.44,0.0
KP,0.1551661703612055,0.8922054795769317,0.0005818731388545,10.0,96.35627530364371,62.5,1.35,6022.267206477732
KR,1.0235497752931653,0.1158735594671508,0.0038383116573493,42.0,83.40080971659918,56.60000000000001,98.52,4720.485829959514
