Column,DataType
action.physical.vector.Victim work area,bool
action.social.notes,object
action.social.result.Deploy payload,bool
action.social.result.Elevate,bool
action.social.result.Exfiltrate,bool
action.social.result.Infiltrate,bool
action.social.result.Lateral movement,bool
action.social.result.NA,bool
action.social.result.Other,bool
action.social.result.Persist,bool
action.social.result.Unknown,bool
action.social.target.Auditor,bool
action.social.target.Call center,bool
action.social.target.Cashier,bool
action.social.target.Customer,bool
action.social.target.Developer,bool
action.social.target.End-user,bool
action.social.target.End-user or employee,bool
action.social.target.Executive,bool
action.social.target.Finance,bool
action.social.target.Former employee,bool
action.social.target.Guard,bool
action.social.target.Helpdesk,bool
action.social.target.Human resources,bool
action.social.target.Maintenance,bool
action.social.target.Manager,bool
action.social.target.Other,bool
action.social.target.Other employee,bool
action.social.target.Partner,bool
action.social.target.System admin,bool
action.social.target.Unknown,bool
action.social.variety.Baiting,bool
action.social.variety.Bribery,bool
action.social.variety.Elicitation,bool
action.social.variety.Evade Defenses,bool
action.social.variety.Extortion,bool
action.social.variety.Forgery,bool
action.social.variety.Influence,bool
action.social.variety.Other,bool
action.social.variety.Phishing,bool
action.social.variety.Pretexting,bool
action.social.variety.Prompt bombing,bool
action.social.variety.Propaganda,bool
action.social.variety.Scam,bool
action.social.variety.Spam,bool
action.social.variety.Unknown,bool
action.social.vector.Documents,bool
action.social.vector.Email,bool
action.social.vector.IM,bool
action.social.vector.In-person,bool
action.social.vector.Other,bool
action.social.vector.Partner,bool
action.social.vector.Phone,bool
action.social.vector.Removable media,bool
action.social.vector.SMS,bool
action.social.vector.Social media,bool
action.social.vector.Software,bool
action.social.vector.Unknown,bool
action.social.vector.Web application,bool
action.unknown.notes,object
action.unknown.result.Deploy payload,bool
action.unknown.result.Elevate,bool
action.unknown.result.Exfiltrate,bool
action.unknown.result.Infiltrate,bool
action.unknown.result.Lateral movement,bool
action.unknown.result.NA,bool
action.unknown.result.Other,bool
action.unknown.result.Persist,bool
action.unknown.result.Unknown,bool
actor.external.country.AD,bool
actor.external.country.AE,bool
actor.external.country.AF,bool
actor.external.country.AG,bool
actor.external.country.AI,bool
actor.external.country.AL,bool
actor.external.country.AM,bool
actor.external.country.AO,bool
actor.external.country.AQ,bool
actor.external.country.AR,bool
actor.external.country.AS,bool
actor.external.country.AT,bool
actor.external.country.AU,bool
actor.external.country.AW,bool
actor.external.country.AX,bool
actor.external.country.AZ,bool
actor.external.country.BA,bool
actor.external.country.BB,bool
actor.external.country.BD,bool
actor.external.country.BE,bool
actor.external.country.BF,bool
actor.external.country.BG,bool
actor.external.country.BH,bool
actor.external.country.BI,bool
actor.external.country.BJ,bool
actor.external.country.BL,bool
actor.external.country.BM,bool
actor.external.country.BN,bool
actor.external.country.BO,bool
actor.external.country.BQ,bool
actor.external.country.BR,bool
actor.external.country.BS,bool
actor.external.country.BT,bool
actor.external.country.BV,bool
actor.external.country.BW,bool
actor.external.country.BY,bool
actor.external.country.BZ,bool
actor.external.country.CA,bool
actor.external.country.CC,bool
actor.external.country.CD,bool
actor.external.country.CF,bool
actor.external.country.CG,bool
actor.external.country.CH,bool
actor.external.country.CI,bool
actor.external.country.CK,bool
actor.external.country.CL,bool
actor.external.country.CM,bool
actor.external.country.CN,bool
actor.external.country.CO,bool
actor.external.country.CR,bool
actor.external.country.CU,bool
actor.external.country.CV,bool
actor.external.country.CW,bool
actor.external.country.CX,bool
actor.external.country.CY,bool
actor.external.country.CZ,bool
actor.external.country.DE,bool
actor.external.country.DJ,bool
actor.external.country.DK,bool
actor.external.country.DM,bool
actor.external.country.DO,bool
actor.external.country.DZ,bool
actor.external.country.EC,bool
actor.external.country.EE,bool
actor.external.country.EG,bool
actor.external.country.EH,bool
actor.external.country.ER,bool
actor.external.country.ES,bool
actor.external.country.ET,bool
actor.external.country.FI,bool
actor.external.country.FJ,bool
actor.external.country.FK,bool
actor.external.country.FM,bool
actor.external.country.FO,bool
actor.external.country.FR,bool
actor.external.country.GA,bool
actor.external.country.GB,bool
actor.external.country.GD,bool
actor.external.country.GE,bool
actor.external.country.GF,bool
actor.external.country.GG,bool
actor.external.country.GH,bool
actor.external.country.GI,bool
actor.external.country.GL,bool
actor.external.country.GM,bool
actor.external.country.GN,bool
actor.external.country.GP,bool
actor.external.country.GQ,bool
actor.external.country.GR,bool
actor.external.country.GS,bool
actor.external.country.GT,bool
actor.external.country.GU,bool
actor.external.country.GW,bool
actor.external.country.GY,bool
actor.external.country.HK,bool
actor.external.country.HM,bool
actor.external.country.HN,bool
actor.external.country.HR,bool
actor.external.country.HT,bool
actor.external.country.HU,bool
actor.external.country.ID,bool
actor.external.country.IE,bool
actor.external.country.IL,bool
actor.external.country.IM,bool
actor.external.country.IN,bool
actor.external.country.IO,bool
actor.external.country.IQ,bool
actor.external.country.IR,bool
actor.external.country.IS,bool
actor.external.country.IT,bool
actor.external.country.JE,bool
actor.external.country.JM,bool
actor.external.country.JO,bool
actor.external.country.JP,bool
actor.external.country.KE,bool
actor.external.country.KG,bool
actor.external.country.KH,bool
actor.external.country.KI,bool
actor.external.country.KM,bool
actor.external.country.KN,bool
actor.external.country.KP,bool
actor.external.country.KR,bool
actor.external.country.KW,bool
actor.external.country.KY,bool
actor.external.country.KZ,bool
actor.external.country.LA,bool
actor.external.country.LB,bool
actor.external.country.LC,bool
actor.external.country.LI,bool
actor.external.country.LK,bool
actor.external.country.LR,bool
actor.external.country.LS,bool
actor.external.country.LT,bool
actor.external.country.LU,bool
actor.external.country.LV,bool
actor.external.country.LY,bool
actor.external.country.MA,bool
actor.external.country.MC,bool
actor.external.country.MD,bool
actor.external.country.ME,bool
actor.external.country.MF,bool
actor.external.country.MG,bool
actor.external.country.MH,bool
actor.external.country.MK,bool
actor.external.country.ML,bool
actor.external.country.MM,bool
actor.external.country.MN,bool
actor.external.country.MO,bool
actor.external.country.MP,bool
actor.external.country.MQ,bool
actor.external.country.MR,bool
actor.external.country.MS,bool
actor.external.country.MT,bool
actor.external.country.MU,bool
actor.external.country.MV,bool
actor.external.country.MW,bool
actor.external.country.MX,bool
actor.external.country.MY,bool
actor.external.country.MZ,bool
actor.external.country.NA,bool
actor.external.country.NC,bool
actor.external.country.NE,bool
actor.external.country.NF,bool
actor.external.country.NG,bool
actor.external.country.NI,bool
actor.external.country.NL,bool
actor.external.country.NO,bool
actor.external.country.NP,bool
actor.external.country.NR,bool
actor.external.country.NU,bool
