,vd,ad,X,ad_rank,Y,Z,GCI,F,vd_ad_ratio,log_X,log_vd_ad_ratio,log_ad,log_vd,log_Y
BG,0.5774265484559037,0.4330699113419278,0.0021653495567096,20.0,92.3076923076923,62.5,67.38,5769.2307692307695,1.333330254545776,0.0021630085661244218,0.8472965409059514,0.3598189343565801,0.45579475235609995,4.535902551482513
BH,1.1753761056616103,0.0,0.004407660396231,77.0,69.23076923076923,75.0,77.86,5192.307692307692,1175376.1056616104,0.004397975110351882,13.977099595058458,0.0,0.777201571734606,4.251786523133432
BI,0.0,0.0,0.0,77.0,69.23076923076923,0.0,1.73,0.0,0.0,0.0,0.0,0.0,0.0,4.251786523133432
BJ,0.0,0.0,0.0,77.0,69.23076923076923,0.0,80.06,0.0,0.0,0.0,0.0,0.0,0.0,4.251786523133432
BL,0.0,0.0,0.0,77.0,69.23076923076923,0.0,18.2575,0.0,0.0,0.0,0.0,0.0,0.0,4.251786523133432
BM,0.0,0.0,0.0,77.0,69.23076923076923,0.0,18.2575,0.0,0.0,0.0,0.0,0.0,0.0,4.251786523133432
BN,2.285803105492099,0.0,0.0085717616455953,77.0,69.23076923076923,50.0,56.07,3461.538461538461,2285803.105492099,0.008535232693290961,14.642228426529462,0.0,1.1896110986147665,4.251786523133432
BO,0.1713351350365016,0.0,0.0006425067563868,77.0,69.23076923076923,100.0,16.14,6923.076923076923,171335.13503650163,0.0006423004372903442,12.051382607988616,0.0,0.1581442392599568,4.251786523133432
BQ,0.0,0.0,0.0,77.0,69.23076923076923,0.0,18.2575,0.0,0.0,0.0,0.0,0.0,0.0,4.251786523133432
BR,0.0705685063322696,0.0235228354440898,0.000264631898746,70.0,72.06477732793522,70.0,96.6,5044.534412955465,2.9998724697761587,0.00026459688990125156,1.3862624780556707,0.023250437002794153,0.06818982170555637,4.291346408333321
BS,12.714622833428267,0.0,0.047679835625356,77.0,69.23076923076923,60.0,13.37,4153.846153846153,12714622.833428267,0.046578038866625135,16.358263371927922,0.0,2.6184626237145445,4.251786523133432
BT,0.0,0.0,0.0,77.0,69.23076923076923,0.0,18.34,0.0,0.0,0.0,0.0,0.0,0.0,4.251786523133432
BV,110.70263900055748,0.25504538156349676,0.4151348962520906,65.15384615384616,74.02678293366553,0.0,18.2575,2605.34675211854,110135151.1315956,0.026626922954644326,4.064123587480579,0.09910071399581512,0.4444062725520426,4.311796450495937
BW,0.8504757348641896,0.0,0.0031892840057407,77.0,69.23076923076923,50.0,53.06,3461.538461538461,850475.7348641896,0.0031842090270088022,13.65355233578687,0.0,0.6154427600124589,4.251786523133432
BY,0.4255834829347939,0.0,0.0015959380610054,77.0,69.23076923076923,50.0,50.57,3461.538461538461,425583.4829347939,0.0015946659051995055,12.961218757075166,0.0,0.354581191622672,4.251786523133432
